q1,q2,q3,q6,q4,q5,q17,q18,q20,q22,q23,q24,q25,q26,q27,q28,q29,q30,q33,q40,q41,q42,q56,q57,q58,q53,q54,q16,weight,stratum,psu
16 years old,Female,Grade 11,Never,1.56,41,0 times,Not seriously injured,NA,Sometimes,Sometimes,No,No,0 times,0,16 or 17 years old,1 or 2 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,4,0 days,Rarely,0 times,4.2403,201401017,106
16 years old,Male,Grade 11,Never,1.72,79,0 times,Not seriously injured,0 days,Most of the time,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Both,I have never used drugs,0 times,0 times,Always,Sometimes,4,6 to 9 days,Sometimes,1 time,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.67,56,NA,NA,0 days,Sometimes,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Most of the time,1,3 to 5 days,Most of the time,1 time,7.5797,201401017,106
17 years old,Female,Grade 11,Never,1.55,46,0 times,Not seriously injured,0 days,Most of the time,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Never,Never,1,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.58,48,0 times,Not seriously injured,0 days,Sometimes,Most of the time,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Sometimes,1,0 days,Sometimes,2 or 3 times,4.2403,201401017,106
17 years old,Female,Grade 11,Rarely,1.59,54,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Always,3,0 days,Always,2 or 3 times,4.2403,201401017,106
17 years old,Male,Grade 11,Rarely,1.78,50,NA,NA,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,1,1 or 2 days,Most of the time,2 or 3 times,7.5797,201401017,106
16 years old,Female,Grade 11,Never,1.58,52,1 time,Concussion/head injury,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,2,0 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Rarely,1.49,56,1 time,Something else happened to me,0 days,Sometimes,Most of the time,No,Yes,4 or 5 times,3 or more,16 or 17 years old,1 or 2 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Most of the time,2,1 or 2 days,Always,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Rarely,1.62,74,2 or 3 times,Something else happened to me,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My mother or female guardian,I have never used drugs,0 times,0 times,Never,Rarely,2,0 days,Most of the time,0 times,4.2403,201401017,106
