q1,q2,q3,q6,q4,q5,q17,q18,q20,q22,q23,q24,q25,q26,q27,q28,q29,q30,q33,q40,q41,q42,q56,q57,q58,q53,q54,q16,weight,stratum,psu
11 years old or younger,Female,Class 7,Sometimes,NA,NA,1 time,Something else happened to me,0 days,Sometimes,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Never,1,1 or 2 days,Never,0 times,707.6739,201501011,23
14 years old,Female,Class 7,Never,1.48,38,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Rarely,1,0 days,Never,0 times,707.6739,201501011,23
14 years old,Female,Class 7,Never,1.5,48,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Rarely,1,0 days,Never,0 times,707.6739,201501011,23
11 years old or younger,Female,Class 7,Never,1.49,31,1 time,Not seriously injured,3 to 5 days,Never,Rarely,NA,No,0 times,1,7 years old or younger,0 days,0 days,Neither,7 years old or younger,0 times,0 times,Never,Never,5,0 days,Rarely,0 times,707.6739,201501011,23
16 years old,Female,Class 7,Sometimes,1.52,49,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,3 to 5 days,Sometimes,0 times,707.6739,201501011,23
13 years old,Female,Class 7,Sometimes,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,3 to 5 days,Sometimes,0 times,707.6739,201501011,23
13 years old,Female,Class 7,Never,1.45,32,1 time,Not seriously injured,3 to 5 days,Never,Rarely,NA,No,0 times,1,7 years old or younger,0 days,0 days,Neither,7 years old or younger,0 times,0 times,Never,Never,5,0 days,Rarely,0 times,707.6739,201501011,23
13 years old,Female,Class 7,Never,1.39,34,1 time,Not seriously injured,3 to 5 days,Never,Rarely,NA,No,0 times,1,7 years old or younger,0 days,0 days,Neither,7 years old or younger,0 times,0 times,Never,Never,5,0 days,Rarely,0 times,707.6739,201501011,23
12 years old,Male,Class 7,Never,1.46,38,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Most of the time,3,3 to 5 days,Most of the time,1 time,748.0161,201501011,23
12 years old,Male,Class 7,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Most of the time,3,3 to 5 days,Rarely,1 time,748.0161,201501011,23
