q1,q2,q3,q6,q4,q5,q17,q18,q20,q22,q23,q24,q25,q26,q27,q28,q29,q30,q33,q40,q41,q42,q56,q57,q58,q53,q54,q16,weight,stratum,psu
14 years old,Male,Grade 8,Rarely,1.57,39,NA,NA,NA,Rarely,Sometimes,No,No,0 times,3 or more,14 or 15 years old,1 or 2 days,1 or 2 days,My father or male guardian,NA,NA,NA,Rarely,Rarely,1,0 days,Rarely,1 time,552.2395,201601020,40
13 years old,Male,Grade 8,Never,1.51,37,0 times,Not seriously injured,0 days,Never,Never,No,No,1 time,3 or more,I have never smoked cigarettes,0 days,1 or 2 days,I do not know,I have never used drugs,0 times,0 times,Sometimes,Most of the time,1,0 days,Sometimes,1 time,552.2395,201601020,40
13 years old,Female,Grade 8,Never,1.57,34,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Most of the time,Most of the time,5,0 days,Most of the time,0 times,598.1177,201601020,40
13 years old,Male,Grade 8,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Rarely,No,No,0 times,3 or more,10 or 11 years old,3 to 5 days,0 days,NA,I have never used drugs,0 times,0 times,Always,Always,1,10 or more days,Most of the time,NA,552.2395,201601020,40
13 years old,Male,Grade 8,Rarely,1.59,41,0 times,Not seriously injured,1 or 2 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,3,3 to 5 days,Always,0 times,552.2395,201601020,40
13 years old,Male,Grade 8,Never,1.48,29,0 times,Not seriously injured,1 or 2 days,Rarely,Rarely,No,No,0 times,3 or more,8 or 9 years old,3 to 5 days,3 to 5 days,I do not know,I have never used drugs,0 times,0 times,Sometimes,Most of the time,2,0 days,Sometimes,2 or 3 times,552.2395,201601020,40
13 years old,Male,Grade 8,Rarely,1.36,30,0 times,Not seriously injured,1 or 2 days,Rarely,Never,Yes,Yes,1 time,0,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Never,4,1 or 2 days,Never,0 times,552.2395,201601020,40
14 years old,Male,Grade 9,Never,1.42,43,NA,NA,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,471.0586,201601020,40
14 years old,Male,Grade 9,Never,1.38,24,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,0 times,471.0586,201601020,40
14 years old,Male,Grade 9,Never,NA,NA,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,1,1 or 2 days,Sometimes,0 times,471.0586,201601020,40
